Terminal/Stream,Liquid Type,January,February,March,April,May,June,July,August,September,October,November,December
AJE,Blend Total,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OKORO (Ex Ima Terminal),Crude Oil,203761.0,190965.0,201924.0,182645.0,188990.0,167626.0,181758.0,173385.0,167614.0,177386.0,172483.0,173580.0
ASARAMATORU (Ex Ima Terminal),Crude Oil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OTAKPIPO (Ex Ima Terminal),Crude Oil,278843.0,217705.0,242882.0,270168.0,306424.0,270141.0,266605.0,197152.0,195878.0,169735.0,127545.0,186192.0
ANTAN,Crude Oil,348555.0,339797.0,351219.0,316850.0,347468.0,338999.0,326256.0,301795.0,282378.0,322482.0,262803.0,257832.0
OKONO,Crude Oil,236705.0,NaN,NaN,NaN,195218.0,320167.0,278126.0,192153.0,347996.0,337559.0,363195.0,NaN
YOHO,Crude Oil,763905.0,605028.0,613540.0,797326.0,875500.0,718128.0,838774.0,774906.0,612841.0,895104.0,835791.0,816215.0
OKWORI,Crude Oil,126381.0,97407.0,113685.0,122713.0,97727.0,92929.0,60254.0,81861.0,114101.0,122353.0,120309.0,160111.0
EBOK,Crude Oil,360854.0,313325.0,373269.0,256863.0,346614.0,306143.0,362670.0,310976.0,288735.0,328394.0,287304.0,323281.0
AJAPA,Crude Oil,28695.0,28351.0,6954.0,NaN,60199.0,74981.0,NaN,NaN,38099.0,70873.0,45219.0,81691.0
ANAMBRA BASIN,Crude Oil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BONGA,Crude Oil,3748506.0,3599339.0,2956265.0,3555910.0,3790062.0,3395007.0,3892206.0,3917328.0,3665508.0,3848886.0,4063082.0,4538017.0
ERHA,Crude Oil,2377755.0,2074747.0,1964256.0,2007966.0,2195944.0,2106139.0,1825644.0,2007406.0,1868247.0,2284481.0,1900169.0,1686459.0
USAN,Crude Oil,1194927.0,953323.0,801207.0,710433.0,730909.0,655874.0,700446.0,688354.0,618230.0,662568.0,608208.0,1151063.0
EGINA,Crude Oil,2881704.0,2610000.0,2727454.0,2621045.0,2500871.0,2450116.0,2421372.0,2313456.0,2267660.0,2264742.0,2182648.0,2202202.0
OYO,Crude Oil,40035.0,36554.0,40235.0,36771.0,43319.0,35748.0,36316.0,33347.0,37283.0,35371.0,16125.0,54614.0
ABO,Crude Oil,343221.0,308835.0,323697.0,310860.0,311959.0,317353.0,343329.0,367287.0,360610.0,364682.0,346187.0,372378.0
PENNINGTON,Crude Oil,377158.0,360774.0,321874.0,530794.0,353442.0,507062.0,159850.0,206828.0,233383.0,415343.0,390161.0,157831.0
UKPOKITI,Crude Oil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UGO OCHA (JONES CREEK),Crude Oil,467367.0,533442.0,558351.0,464594.0,621051.0,326791.0,663563.0,556608.0,257885.0,78216.0,235179.0,548101.0
SEA EAGLE (EA),Crude Oil,395216.0,4265.0,NaN,374352.0,626868.0,632123.0,510925.0,621548.0,560093.0,613350.0,557724.0,529276.0
ANYALA MADU (CJ Blend),Crude Oil,1146593.0,1127530.0,1099253.0,1171240.0,1535090.0,1185654.0,1661520.0,1619353.0,1683389.0,1678744.0,1577589.0,1631554.0
NEMBE,Crude Oil,888760.0,1119758.0,1061497.0,971471.0,705177.0,836337.0,928117.0,842075.0,950502.0,1166013.0,877561.0,958016.0
UTAPATE,Crude Oil,NaN,NaN,NaN,NaN,309434.0,567302.0,754222.0,996070.0,1153954.0,1226067.0,1155235.0,1220162.0
AGBAMI,Condensate,2939947.0,2842766.0,3006372.0,2798586.0,2644292.0,2768326.0,2874292.0,2689634.0,2757372.0,2705924.0,2640895.0,2116536.0
AKPO,Condensate,1664866.0,1530025.0,1097985.0,171015.0,1846476.0,1883331.0,2072037.0,2101571.0,1854178.0,1977989.0,1820724.0,1745986.0
IMA,Condensate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AJAPA,Condensate,37662.0,62243.0,40027.0,36854.0,39753.0,24017.0,18783.0,NaN,NaN,691.0,NaN,NaN
TULJA - OKWUIBOME,Condensate,284045.0,264581.0,304064.0,299673.0,308497.0,280251.0,301720.0,283275.0,255131.0,296237.0,288743.0,282139.0
TOTAL,Crude Oil,44223789.0,38344029.0,38146047.0,38444326.0,38796305.0,38284785.0,40506369.0,41902348.0,39728786.0,41332977.0,44569683.0,46022147.0
TOTAL,Blended Condensate,1803495.0,1605019.0,1987501.0,1672597.0,1890357.0,1765256.0,1771447.0,1714291.0,1733221.0,1368166.0,1394492.0,1527549.0
TOTAL,Unblended Condensate,4926520.0,4699615.0,4448448.0,3306128.0,4839018.0,4955925.0,5266832.0,5074480.0,4866681.0,4980841.0,4750362.0,4144661.0
TOTAL,Total,50953804.0,44648663.0,44581996.0,43423051.0,45525680.0,45005966.0,47544648.0,48691119.0,46328688.0,47681984.0,50714537.0,51694357.0
